Category,Price Range (INR),Referral Fee Percentage
Printers & Scanners,> 500 and <= 1000,9.50%
Printers & Scanners,> 1000,10.50%
Software Products,All,9.50%
Speakers,<= 500,11.00%
Speakers,> 500 and <= 1000,11.50%
Speakers,> 1000,12.00%
Television,All,6%
Landline Phones,All,7%
Smart Watches & Accessories,<= 500,15.50%
Smart Watches & Accessories,> 500 and <= 1000,16.50%
Smart Watches & Accessories,> 1000,17.00%
USB Flash Drives,All,16%
Projectors Home Theatre Systems,All,6.00%
Grocery - herbs and spices,<= 300,4%
Grocery - herbs and spices,> 300 and <= 1000,5.50%
Grocery - herbs and spices,> 1000,8.00%
Grocery & Gourmet - Oils,<= 1000,7.50%
Grocery & Gourmet - Oils,> 1000,9%
Grocery - Dried fruits and nuts,<= 500,6.00%
Grocery - Dried fruits and nuts,> 500 and <= 1000,8.00%
Grocery - Dried fruits and nuts,> 1000,9.00%
Grocery - Hampers and gifting,<= 1000,9%
Grocery - Hampers and gifting,> 1000,11.50%
Pet food,<= 300,5.50%
Pet food,> 300 and <= 1000,11.50%
Pet food,> 1000,12.50%
Pet Products,<= 300,2.00%
Pet Products,> 300 and <= 500,10.50%
Pet Products,> 500,12.00%
Beauty - Fragrance,<= 300,13.50%
Beauty - Fragrance,> 300 and <= 500,12.50%
Beauty - Fragrance,> 500,14%
Beauty - Haircare Bath and Shower,<= 300,7.50%
Beauty - Haircare Bath and Shower,> 300 and <= 500,5.00%
Beauty - Haircare Bath and Shower,> 500,8.00%
Beauty - Makeup,<= 300,6%
Beauty - Makeup,> 300 and <= 500,4.50%
Beauty - Makeup,> 500 and <= 1000,7.50%
Beauty - Makeup,> 1000,7%
Face Wash,<= 300,6%
Face Wash,> 300 and <= 500,5%
Face Wash,> 500 and <= 1000,9%
Face Wash,> 1000,9.50%
Moisturizer cream,<= 500,6.50%
Moisturizer cream,> 500 and <= 1000,9%
Moisturizer cream,> 1000,9.50%
Sunscreen,<= 300,5.50%
Sunscreen,> 300 and <= 500,6.00%
Sunscreen,> 500 and <= 1000,9.00%
Sunscreen,> 1000,9.50%
Deodrants,<= 300,8.50%
Deodrants,> 300 and <= 1000,6.50%
Deodrants,> 1000,7%
Facial steamers,<= 300,7.00%
Facial steamers,> 300 and <= 500,6.50%
Facial steamers,> 500,7.00%
Prescription Medicine,All,6%
Health & Personal Care - Medical Equipment & Contact Lens,All,8%
Health and Personal Care - Ayurvedic products,<= 500,6.00%
Health and Personal Care - Ayurvedic products,> 500 and <= 1000,7.00%
Health and Personal Care - Ayurvedic products,> 1000,8.00%
Health & Household - Sports Nutrition,All,9%
Health and Personal Care - Contact lens,All,12%
Health and Household - Household Cleaning,<= 500,4.50%
Health and Household - Household Cleaning,> 500 and <= 1000,7.50%
Health and Household - Household Cleaning,> 1000,8%
Health and Household - Vitamins & Supplements,<= 500,9.00%
Health and Household - Vitamins & Supplements,> 500,10.50%
Luxury Beauty,<= 300,5%
Luxury Beauty,> 300 and <= 500,6%
Luxury Beauty,> 500 and <= 1000,9%
Luxury Beauty,> 1000,10%
Car Cradles Lens Kits and Tablet Cases,<= 500,19.00%
Car Cradles Lens Kits and Tablet Cases,> 500 and <= 1000,25.00%
Car Cradles Lens Kits and Tablet Cases,> 1000,29.00%
Personal Care Appliances - Electric Massagers,<= 500,9.50%
Personal Care Appliances - Electric Massagers,> 500 and <= 1000,13.50%
Personal Care Appliances - Electric Massagers,> 1000,14.50%
Personal Care Appliances - Grooming & Styling,<= 500,11.00%
Personal Care Appliances - Grooming & Styling,> 500 and <= 1000,10.00%
Personal Care Appliances - Grooming & Styling,> 1000,9.00%
Personal Care Appliances - Glucometer,All,5.50%
Personal Care Appliances - Thermometers,<= 500,12.50%
Personal Care Appliances - Thermometers,> 500,10.50%
Bean Bags & Inflatables,All,11%
Mattresses,<= 1000,25.50%
Mattresses,> 1000 and <= 20000,16%
Mattresses,> 20000,13.50%
Rugs and Doormats,<= 300,4.00%
Rugs and Doormats,> 300,9.00%
Clocks,<= 300,4.00%
Clocks,> 300 and <= 1000,9.00%
Clocks,> 1000,10.00%
Wall Art,<= 300,5.00%
Wall Art,> 300 and <= 500,11.00%
Wall Art,> 500,13.50%
Home - Fragrance & Candles,<= 300,2.00%
Home - Fragrance & Candles,> 300 and <= 500,7.50%
Home - Fragrance & Candles,> 500,12.50%
Bedsheets Blankets and covers,<= 500,3.00%
Bedsheets Blankets and covers,> 500 and <= 1000,7.00%
Bedsheets Blankets and covers,> 1000,8.50%
Home furnishing,<= 300,2.00%
Home furnishing,> 300 and <= 1000,7.00%
Home furnishing,> 1000,11.00%
Containers Boxes Bottles Kitchen Storage,<= 300,2.00%
Containers Boxes Bottles Kitchen Storage,> 300 and <= 500,5.00%
Containers Boxes Bottles Kitchen Storage,> 500,12.00%
Home improvement - Accessories,All,13.50%
Home improvement (excl. accessories),All,9%
Tiles & Flooring Accessories,All,8%
Wires,All,10%
Ladders Kitchen and Bath fixtures,All,8.00%
Home Storage,<= 300,5.50%
Home Storage,> 300 and <= 1000,11.00%
Home Storage,> 1000,15.00%
Wallpapers & Wallpaper Accessories,<= 500,9.00%
Wallpapers & Wallpaper Accessories,> 500 and <= 1000,8.00%
Wallpapers & Wallpaper Accessories,> 1000,6.50%
Home Decor Products,<= 300,6.00%
Home Decor Products,> 300 and <= 1000,12.00%
Home Decor Products,> 1000,17.00%
Wall Paints and Tools,<= 300,9%
Wall Paints and Tools,> 300,6%
Home - Waste & Recycling,<= 300,7.50%
Home - Waste & Recycling,> 300,8.00%
Craft materials,<= 500,2%
Craft materials,> 500,5%
Water Purifier and Accessories,<= 5000,6.50%
Water Purifier and Accessories,> 5000,7.50%
Water Heaters and Accessories,<= 5000,8%
Water Heaters and Accessories,> 5000,9%
Home improvement - Kitchen & Bath,<= 300,5%
Home improvement - Kitchen & Bath,> 300,12%
Sanitaryware,All,10%
Home Safety & Security Systems,All,6%
Inverter and Batteries,All,4.50%
Cleaning and Home Appliances,<= 5000,7.50%
Cleaning and Home Appliances,> 5000,8.50%
Indoor Lighting,<= 500,6.00%
Indoor Lighting,> 500 and <= 1000,14.50%
Indoor Lighting,> 1000,11.50%
Doors and Windows,All,10%
LED Bulbs and Battens,<= 300,2.00%
LED Bulbs and Battens,> 300 and <= 500,6.50%
LED Bulbs and Battens,> 500,14.00%
Cushion Covers,<= 300,3.00%
Cushion Covers,> 300 and <= 500,7.00%
Cushion Covers,> 500,10.00%
Curtains and Curtain Accessories,<= 300,15.50%
Curtains and Curtain Accessories,> 300 and <= 500,16.50%
Curtains and Curtain Accessories,> 500 and <= 1000,11.50%
Curtains and Curtain Accessories,> 1000,16.50%
Slipcovers and Kitchen Linens,<= 300,7.50%
Slipcovers and Kitchen Linens,> 300 and <= 500,11.50%
Slipcovers and Kitchen Linens,> 500,15.50%
Safes and Lockers,All,12%
Lawn & Garden - Solar Panels,All,6%
Lawn & Garden - Leaf blower,All,6.50%
Lawn & Garden - Commercial Agricultural,All,3.00%
Lawn & Garden - Chemical Pest Control,<= 1000,7.00%
Lawn & Garden - Chemical Pest Control,> 1000,9.00%
Lawn & Garden - Solar Devices,All,8%
Lawn and Garden - Planters,<= 300,13%
Lawn and Garden - Planters,> 300 and <= 15000,10%
Lawn and Garden - Planters,> 15000,5%
Lawn and Garden - Plants Seeds & Bulbs,<= 500,9.50%
Lawn and Garden - Plants Seeds & Bulbs,> 500,11%
Lawn & Garden - Outdoor equipments,All,6.50%
Kitchen - Non Appliances,<= 300,6%
Kitchen - Non Appliances,> 300,11.50%
Kitchen - Glassware & Ceramicware,<= 500,4.00%
Kitchen - Glassware & Ceramicware,> 500 and <= 1000,11.00%
Kitchen - Glassware & Ceramicware,> 1000,12.50%
Kitchen - Gas Stoves & Pressure Cookers,<= 1500,6%
Kitchen - Gas Stoves & Pressure Cookers,> 1500,10%
Large Appliances (excl. specified),All,5.50%
Large Appliances - Accessories,All,16%
Large Appliances - Chimneys,All,9.50%
Large Appliances - Refrigerators,All,5%
Small Appliances,<= 5000,6.50%
Small Appliances,> 5000,8.00%
Fans and Robotic Vacuums,<= 3000,6.50%
Fans and Robotic Vacuums,> 3000,8.00%
Bicycles,<= 300,7.00%
Bicycles,> 300 and <= 1000,5.50%
Bicycles,> 1000,6.00%
Sports & Outdoors - Footwear,<= 300,11.50%
Sports & Outdoors - Footwear,> 300 and <= 500,12.50%
Sports & Outdoors - Footwear,> 500 and <= 1000,14.50%
Sports & Outdoors - Footwear,> 1000,16.00%
Coin Collectibles,All,15%
Silver Coins & Bars,All,3%
Furniture - Other products,<= 15000,15.50%
Furniture - Other products,> 15000,11%
Consumable Physical Gift Card,All,5%
Warranty Services,All,30%
